标题,播放次数,连接
『原创古风』编曲给音乐划上浓墨重彩的一笔,84万,http://music.163.com/playlist?id=2219028438
Uplifting Trance丨直击灵魂深处的电子音乐,51万,http://music.163.com/playlist?id=2218083370
安静细腻的欧美小调，献给失眠的你,68万,http://music.163.com/playlist?id=2220081292
毕业倒计时：时光里的伤心旅客,748万,http://music.163.com/playlist?id=2219538180
魔性Hook丨突然被这些女声洗了脑,170万,http://music.163.com/playlist?id=2219116947
华语 | 牵着时光衣襟，走进芳菲五月,276万,http://music.163.com/playlist?id=2218148426
T台节奏BGM•听完这单 谁还不是个超模咋地?,286万,http://music.163.com/playlist?id=2216189440
你的青春里有没有属于你的一首歌？,1229万,http://music.163.com/playlist?id=2201879658
Summer Time·一股清流 安抚夏日燥热,270万,http://music.163.com/playlist?id=2211492602
『母亲节』电影里的微笑，记我们的母亲,230万,http://music.163.com/playlist?id=2211639277
点起一支烟，听一首粤语歌,337万,http://music.163.com/playlist?id=2197936899
伤心的时候，来这里偷偷听着哭吧。,146万,http://music.163.com/playlist?id=2199699508
你离开以后，我将自己活成了你的样子,283万,http://music.163.com/playlist?id=2205731441
倾听100部电影，爱情的美丽与哀愁,348万,http://music.163.com/playlist?id=2203603614
⚡️18年4月新热电音推送,119万,http://music.163.com/playlist?id=2203423972
[ACG抒情]那些温柔 令人心碎,108万,http://music.163.com/playlist?id=2200464560
夏天快要过去，牵你手买冰淇淋,444万,http://music.163.com/playlist?id=2199015597
当进击节奏迷之出彩旋律Drum&Bass/Dubstep,392万,http://music.163.com/playlist?id=2202058359
